Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Rainy,Highway,Afternoon,0,100,3,0,High,Wet,Car,28,25,Artificial Light,0
Foggy,Rural Road,Morning,1,60,2,1,Moderate,Under Construction,Car,40,38,Artificial Light,1
,City Road,Evening,0,100,2,0,Low,Dry,Car,30,23,Artificial Light,0
Stormy,,Afternoon,2,80,3,0,Moderate,Under Construction,Truck,60,57,Daylight,1
Clear,City Road,Afternoon,1,80,,0,Moderate,Under Construction,,66,65,Artificial Light,0
Rainy,Highway,Morning,1,80,1,0,Low,Dry,Car,,24,No Light,0
,Highway,Afternoon,1,30,5,0,Moderate,Dry,Car,63,55,Artificial Light,1
Foggy,Highway,Night,0,100,1,0,Low,Under Construction,Car,59,57,Artificial Light,0
Clear,Highway,Morning,1,60,3,0,Low,Icy,Car,65,57,Artificial Light,1
Rainy,Mountain Road,Afternoon,1,60,1,0,Low,Dry,Car,18,13,No Light,0
Stormy,Highway,Morning,1,,5,,Moderate,Dry,Car,33,31,Daylight,0
Clear,City Road,Evening,2,50,5,1,Low,Dry,Car,55,52,,0
Rainy,Highway,Evening,0,120,5,0,High,Dry,Car,38,,Artificial Light,0
Clear,Highway,Morning,2,100,5,0,Low,Under Construction,Car,46,,Daylight,1
Clear,City Road,Night,0,,4,0,High,Icy,Car,33,25,Artificial Light,1
Rainy,,Night,1,50,5,0,Low,Under Construction,Truck,45,36,Daylight,1
Clear,Highway,Morning,0,60,5,0,Low,Under Construction,Car,40,37,Artificial Light,0
Foggy,Highway,Night,0,60,5,0,Low,Dry,Car,69,63,Daylight,0
Snowy,,Evening,2,50,5,1,Moderate,Dry,Car,33,32,Artificial Light,0
Foggy,Highway,Evening,0,60,1,1,Low,Wet,Car,22,21,Daylight,0
Rainy,Mountain Road,Afternoon,0,60,5,1,High,Dry,Bus,26,25,Daylight,0
Clear,Highway,Night,1,30,1,0,Low,Wet,Car,59,54,Artificial Light,0
Clear,Highway,Night,1,30,1,1,Moderate,Dry,Car,58,,Daylight,1
Clear,City Road,Afternoon,1,60,5,0,Low,Dry,Truck,23,14,Daylight,0
Clear,Highway,Evening,0,50,2,1,Low,Dry,Truck,,,Artificial Light,0
Rainy,City Road,Morning,0,60,4,1,Low,Dry,Car,,48,Artificial Light,0
Clear,Highway,Evening,0,80,5,0,Moderate,Wet,Car,57,55,Daylight,1
Clear,Highway,Morning,0,60,4,0,Low,Dry,Car,26,25,Artificial Light,0
Clear,Highway,,2,60,5,0,Low,Dry,Truck,34,25,Artificial Light,1
Snowy,City Road,Morning,2,80,1,0,Low,Wet,Truck,27,19,,0
Rainy,City Road,Afternoon,2,100,3,0,Low,Dry,Car,57,49,,0
Foggy,Highway,Afternoon,1,50,5,0,Low,Icy,Car,43,39,Artificial Light,1
Rainy,Mountain Road,Evening,0,50,4,,Low,Wet,Car,41,41,Daylight,
Rainy,Highway,Afternoon,0,100,4,1,Moderate,Dry,Car,23,16,Artificial Light,0
Foggy,Highway,Evening,2,100,5,1,Low,Dry,Car,64,55,Daylight,1
Clear,Highway,Morning,0,,5,0,Moderate,Wet,Car,45,41,Artificial Light,0
Rainy,,Evening,1,50,2,0,Moderate,Under Construction,Car,67,58,No Light,0
Rainy,City Road,Afternoon,1,200,12,,Moderate,Icy,Car,54,53,Artificial Light,0
Clear,Highway,Evening,2,120,5,,Low,Under Construction,Car,42,39,No Light,0
Clear,City Road,Morning,2,50,1,0,Low,Dry,Car,67,66,Artificial Light,0
Clear,Highway,Afternoon,1,80,3,1,Low,Dry,Car,56,48,No Light,0
Foggy,Rural Road,Morning,0,80,4,0,Low,Dry,Motorcycle,40,32,Daylight,0
Rainy,Highway,Night,1,30,1,0,Low,Dry,Car,54,54,Daylight,0
Clear,Highway,Afternoon,2,80,3,0,Low,Dry,Car,52,43,Artificial Light,0
Clear,Highway,Evening,2,,4,0,Moderate,Wet,Car,44,37,Daylight,0
,Mountain Road,Evening,,206,13,0,Low,Icy,Motorcycle,20,17,,0
Foggy,Highway,Evening,2,30,5,0,High,Wet,Car,35,26,Artificial Light,1
Rainy,Highway,Afternoon,0,120,3,,Moderate,Dry,Truck,,39,Artificial Light,1
Clear,City Road,Evening,1,80,3,0,Moderate,Icy,Car,35,31,,0
Snowy,Highway,Morning,2,60,4,0,Low,Wet,Car,50,43,Daylight,1
Rainy,Highway,Afternoon,0,60,4,0,Low,Under Construction,Car,65,60,Daylight,0
Clear,Highway,Afternoon,1,50,3,0,Moderate,,Motorcycle,41,38,Daylight,1
Rainy,Rural Road,Afternoon,0,60,2,0,Moderate,Under Construction,Car,59,53,Daylight,0
Clear,Highway,Morning,2,50,3,0,Low,Icy,Car,24,21,Artificial Light,0
,Highway,Night,1,30,,0,Low,Wet,Car,59,54,Artificial Light,0
,Highway,Evening,0,30,5,0,Moderate,Dry,Car,65,59,Daylight,1
Clear,Highway,Afternoon,2,80,2,,Low,Wet,Car,19,19,Daylight,0
Rainy,Highway,Evening,0,100,2,0,Low,Icy,Truck,37,29,Daylight,1
Rainy,Highway,Afternoon,0,60,2,0,Low,Dry,Car,26,23,Artificial Light,0
Rainy,City Road,Afternoon,0,80,4,0,High,,Car,22,,Artificial Light,0
Foggy,Rural Road,Morning,0,30,3,0,High,Dry,Car,42,42,Artificial Light,0
Clear,Highway,Evening,0,80,2,0,Low,Icy,Car,69,64,Artificial Light,1
Snowy,Highway,Night,2,50,4,0,High,Dry,Bus,21,14,Daylight,0
Clear,Highway,Evening,2,60,5,1,Moderate,Icy,Car,68,65,Artificial Light,0
Clear,City Road,Night,2,80,1,0,Low,Dry,Car,55,46,No Light,0
Clear,City Road,Afternoon,2,60,4,0,High,Wet,,41,41,Artificial Light,1
Clear,Highway,Evening,0,,2,1,Moderate,Dry,Truck,39,37,Artificial Light,1
Foggy,Mountain Road,Evening,2,50,2,0,High,Icy,Truck,21,18,No Light,0
Clear,Mountain Road,Afternoon,0,60,1,0,Low,Dry,Bus,65,57,Artificial Light,0
Snowy,Mountain Road,Morning,0,50,4,0,Low,Icy,Car,55,52,No Light,0
Clear,Mountain Road,Afternoon,1,100,2,0,Low,Dry,,28,26,Artificial Light,1
Snowy,Highway,Afternoon,2,50,5,0,Low,Under Construction,Motorcycle,30,21,Artificial Light,0
Clear,Highway,Night,2,60,2,1,Low,Dry,Bus,65,57,Artificial Light,1
Rainy,Highway,Afternoon,2,80,3,1,Low,Dry,Motorcycle,62,60,Daylight,1
Clear,Highway,Afternoon,1,50,3,0,Moderate,Dry,Car,24,22,Artificial Light,0
Foggy,City Road,Morning,1,30,4,0,,Icy,Car,68,61,Daylight,0
Clear,City Road,Evening,1,80,2,0,Low,Dry,,19,13,Artificial Light,0
Rainy,City Road,Afternoon,1,30,5,1,Moderate,Icy,Car,54,53,Artificial Light,0
Rainy,City Road,Afternoon,1,178,12,0,Moderate,Wet,Car,67,59,Daylight,1
Rainy,Highway,Afternoon,0,60,1,0,Low,Under Construction,Car,34,30,Daylight,0
Foggy,Highway,Morning,1,100,2,1,Low,Dry,,61,60,No Light,
Clear,City Road,Afternoon,1,100,5,0,Moderate,Icy,Car,34,26,Artificial Light,0
Rainy,Highway,Morning,1,60,5,0,Moderate,Under Construction,Car,25,,Artificial Light,1
Rainy,Highway,Evening,2,60,2,1,Low,Under Construction,Car,,38,Artificial Light,1
Clear,City Road,Morning,1,120,1,0,Moderate,Wet,Car,65,58,Artificial Light,
Rainy,City Road,Afternoon,1,60,2,0,High,Dry,Motorcycle,21,19,Daylight,0
Snowy,Rural Road,Afternoon,1,60,1,0,High,Dry,Car,43,42,Artificial Light,1
Rainy,,Morning,2,30,2,0,Low,Icy,Car,52,51,Daylight,0
Snowy,Rural Road,Evening,1,50,5,0,Low,Wet,Motorcycle,64,56,No Light,0
Foggy,City Road,Morning,0,100,1,0,Low,Dry,Truck,34,34,Artificial Light,
Clear,Rural Road,Afternoon,1,60,1,0,Low,Icy,Car,60,56,Daylight,0
Clear,City Road,Morning,0,80,1,0,Low,Wet,Motorcycle,50,42,No Light,0
Rainy,Mountain Road,Afternoon,1,60,1,0,Low,Dry,Car,18,,No Light,0
Clear,Rural Road,Morning,2,60,2,,Moderate,Dry,Car,,10,Daylight,1
Rainy,Rural Road,Morning,1,60,4,,Low,Dry,Car,33,30,No Light,0
Foggy,City Road,Afternoon,1,80,5,0,,Wet,Car,34,,Artificial Light,0
Rainy,Highway,Evening,0,60,3,0,Low,Icy,Car,,13,Artificial Light,0
Clear,City Road,Morning,1,60,3,0,Low,Wet,Car,32,27,Daylight,0
,,,1,208,11,0,Low,Icy,Motorcycle,52,50,Artificial Light,0
Clear,City Road,Afternoon,2,50,5,1,Low,Dry,Car,36,33,Daylight,1
Clear,City Road,Morning,0,80,1,0,Moderate,Dry,Motorcycle,36,36,Artificial Light,1
Clear,Highway,Afternoon,1,50,5,0,Moderate,Dry,Car,27,20,Artificial Light,1
Snowy,City Road,Night,0,60,3,0,Moderate,Dry,Car,45,43,Daylight,0
,Rural Road,Night,1,80,4,0,Low,Wet,Car,68,67,Daylight,0
Rainy,Highway,Morning,0,60,4,0,Moderate,Dry,Car,69,69,No Light,1
Clear,City Road,,0,50,1,0,Moderate,Under Construction,Car,43,40,Artificial Light,0
Snowy,City Road,Night,1,100,3,0,High,Dry,Bus,33,25,Artificial Light,0
Clear,Highway,Evening,0,120,5,0,Moderate,Under Construction,Truck,53,53,,0
Clear,City Road,Morning,2,50,1,0,Low,Dry,Car,62,53,Artificial Light,1
Clear,Highway,Afternoon,2,50,1,0,Low,Under Construction,Truck,60,52,Artificial Light,0
Foggy,Highway,Evening,1,100,,0,Moderate,Wet,Car,25,,Artificial Light,0
Rainy,Rural Road,Afternoon,2,60,1,0,Moderate,Dry,Car,30,27,Daylight,
Clear,Highway,Afternoon,2,60,4,0,Low,Wet,Car,62,61,,0
Foggy,City Road,Afternoon,0,100,4,0,High,Dry,Truck,63,62,Artificial Light,1
Rainy,City Road,Night,2,50,2,,Moderate,Under Construction,Motorcycle,30,25,Daylight,0
Clear,City Road,Night,1,60,1,,Low,Dry,Car,54,54,No Light,1
Snowy,Highway,Afternoon,2,50,5,0,Low,Icy,Truck,58,55,Daylight,0
Snowy,Highway,,,60,4,0,,Dry,Truck,48,44,No Light,1
Rainy,Rural Road,Afternoon,0,80,2,0,Low,Dry,Car,45,39,Artificial Light,0
Clear,Rural Road,Evening,2,80,2,0,,Dry,Car,35,31,Daylight,0
,Highway,Evening,2,50,3,0,Low,Wet,Car,64,55,No Light,0
Stormy,City Road,Evening,2,60,2,1,High,Dry,Truck,65,57,Daylight,0
Clear,City Road,Evening,1,30,4,1,Moderate,Dry,Car,42,36,Artificial Light,0
Clear,Rural Road,Morning,0,60,2,0,Low,Icy,Car,68,61,No Light,0
Rainy,Highway,,2,60,1,0,Low,,Car,46,,Artificial Light,0
,Highway,Morning,1,80,3,0,Low,Dry,Car,30,27,Daylight,1
Rainy,Highway,Morning,1,80,1,1,Low,Wet,Car,47,39,Daylight,0
Snowy,Rural Road,Evening,0,80,1,0,,Dry,Car,58,52,Daylight,0
Rainy,Highway,Morning,,30,2,0,High,Under Construction,Car,44,43,Daylight,1
Clear,Highway,Evening,2,80,1,0,Low,,,48,44,No Light,1
,Highway,Afternoon,2,,4,0,Low,Icy,Truck,26,26,Artificial Light,0
Clear,Highway,Evening,1,100,2,0,Moderate,Dry,,68,60,Artificial Light,0
Rainy,City Road,Morning,1,100,1,0,Low,Wet,Car,18,10,Artificial Light,0
Clear,Rural Road,Night,1,50,2,1,Low,Dry,Car,27,26,Artificial Light,1
,Mountain Road,Night,2,80,3,0,Low,,Motorcycle,23,,Artificial Light,0
Foggy,City Road,Morning,1,50,5,0,Low,Wet,Car,,12,Artificial Light,
Rainy,Highway,Evening,,100,3,0,Low,,Car,41,33,Artificial Light,1
Rainy,Highway,Morning,1,60,1,0,Low,Dry,Car,32,29,Daylight,0
Clear,Highway,,1,50,2,0,,Dry,Car,28,19,Daylight,1
Clear,City Road,Afternoon,0,213,11,0,Low,Dry,Motorcycle,65,56,Daylight,1
Rainy,Rural Road,Evening,2,50,4,0,Low,Dry,Car,46,42,Artificial Light,0
Clear,,Morning,2,60,2,0,Low,Icy,Car,28,22,Artificial Light,1
Rainy,Highway,Evening,0,60,3,0,Low,Wet,Car,65,59,Artificial Light,0
Foggy,Highway,Morning,,80,2,,Moderate,Dry,Car,35,34,Artificial Light,1
Foggy,Highway,Afternoon,1,80,3,0,Moderate,Dry,Car,,26,No Light,0
Rainy,Highway,Evening,1,30,1,0,Low,Dry,Car,25,18,Daylight,0
Clear,,Morning,0,30,3,0,Low,Dry,Car,21,13,No Light,1
Rainy,Highway,Evening,2,30,2,1,Low,Wet,Car,69,63,Daylight,0
Rainy,Highway,Night,0,120,3,0,Moderate,Dry,Motorcycle,20,19,,0
Rainy,Highway,Night,,120,5,0,Moderate,Under Construction,Car,64,58,Artificial Light,0
Clear,Highway,Evening,2,80,2,0,Moderate,Dry,Car,52,45,Daylight,0
Clear,Rural Road,Evening,1,60,5,0,Moderate,Dry,Truck,37,33,Daylight,1
Clear,Rural Road,Afternoon,,80,,0,Low,Dry,Motorcycle,56,53,Daylight,0
Foggy,Highway,Evening,0,60,2,0,Moderate,Dry,,62,53,Artificial Light,0
Clear,Highway,Afternoon,0,100,2,0,Low,Dry,Car,,22,Daylight,0
Clear,Rural Road,Afternoon,1,50,1,0,Low,Dry,Car,29,22,No Light,1
Rainy,City Road,Afternoon,2,60,3,0,Low,Dry,Car,37,30,Artificial Light,0
Rainy,Highway,Afternoon,0,80,4,0,High,Dry,Car,42,34,,1
Clear,,Morning,1,100,5,0,Low,Wet,Truck,69,61,Daylight,0
Clear,City Road,Afternoon,,50,4,0,Moderate,Dry,Car,49,47,Daylight,0
Clear,Highway,Morning,0,60,4,1,High,Wet,Truck,36,27,Daylight,0
Rainy,City Road,Evening,2,120,3,0,,Dry,Car,24,,Daylight,0
,Highway,Morning,2,80,5,,Moderate,Wet,Car,57,54,Daylight,1
Snowy,Highway,Night,0,50,2,1,,Dry,Car,60,54,Artificial Light,0
Clear,Highway,Night,0,60,5,0,Moderate,Dry,Truck,36,31,Daylight,1
Clear,Highway,Evening,0,60,2,1,Low,Wet,,52,50,Daylight,0
Clear,City Road,Morning,2,30,3,0,High,Dry,Car,47,38,Artificial Light,0
Snowy,Highway,Morning,0,30,1,,Moderate,Wet,Motorcycle,24,15,Artificial Light,0
Clear,Rural Road,Afternoon,2,30,1,0,Low,Wet,Truck,53,50,Daylight,1
Clear,City Road,Afternoon,2,100,,0,Low,Icy,Car,50,43,Artificial Light,1
Clear,City Road,Afternoon,,60,1,1,High,Icy,Bus,41,35,Daylight,1
Clear,Highway,Morning,2,60,3,0,Moderate,Dry,Motorcycle,56,51,Artificial Light,0
Clear,,Afternoon,1,60,5,0,Low,Dry,Car,50,41,Artificial Light,0
Rainy,Highway,Evening,2,80,2,0,High,Dry,Motorcycle,52,46,Daylight,0
Clear,City Road,,2,50,2,0,Low,Icy,Car,34,26,Artificial Light,0
,Highway,Morning,0,60,3,,Low,Wet,Car,20,17,Artificial Light,0
Clear,,Morning,2,100,1,,Low,Dry,Car,37,31,Artificial Light,1
Clear,Highway,Evening,1,,3,0,Low,Dry,Car,28,23,Artificial Light,1
Rainy,Highway,Afternoon,1,60,2,0,Low,Dry,Car,35,27,Daylight,0
,Highway,Evening,2,,3,0,Moderate,Dry,Truck,48,40,Daylight,0
Rainy,Highway,Evening,2,60,3,0,Low,Under Construction,Car,46,41,,0
Stormy,City Road,Evening,0,190,14,1,High,Dry,Car,69,62,Artificial Light,1
Foggy,City Road,Morning,,60,4,0,Low,Wet,Car,51,43,Daylight,1
Rainy,Highway,Morning,0,60,,0,Low,Dry,,68,,Artificial Light,0
Snowy,,Afternoon,0,80,5,0,Low,Wet,Car,45,41,Artificial Light,1
Clear,Highway,Afternoon,0,60,4,0,High,Icy,Car,19,15,Artificial Light,0
Rainy,City Road,Night,2,100,3,0,Moderate,Under Construction,Car,44,37,Daylight,0
,City Road,Morning,0,,5,0,Low,Dry,Car,65,63,No Light,0
Rainy,Highway,Evening,1,196,11,0,Moderate,Icy,Car,38,32,Daylight,0
Clear,City Road,,2,60,1,1,Moderate,Dry,Car,34,31,Artificial Light,1
Clear,Highway,Night,0,60,1,0,Low,Icy,Car,31,22,Artificial Light,0
Rainy,City Road,Evening,1,80,1,0,Low,Wet,Car,33,33,Daylight,0
Rainy,Highway,Afternoon,1,,4,0,High,Dry,Car,18,11,Artificial Light,0
Clear,Highway,Morning,0,100,4,0,Low,Icy,,50,50,Daylight,0
Stormy,Rural Road,Evening,1,80,2,0,Low,Icy,Car,21,14,,1
Clear,Rural Road,Afternoon,1,50,3,0,Low,Dry,Motorcycle,35,34,Artificial Light,0
Clear,Rural Road,Evening,2,80,,1,Low,Wet,Car,18,15,Artificial Light,0
Clear,Highway,Morning,1,80,1,0,Moderate,Icy,Car,45,36,No Light,0
Rainy,City Road,Morning,,30,4,1,Low,Dry,Car,69,62,Daylight,1
Foggy,Highway,Afternoon,0,50,2,0,Low,Dry,Car,69,63,Daylight,0
Foggy,City Road,Night,1,80,5,0,Low,Wet,Motorcycle,43,,Artificial Light,0
,Highway,Night,1,60,2,0,Low,Icy,Car,24,17,Daylight,
Snowy,City Road,Afternoon,1,50,3,0,Low,,Car,56,54,No Light,0
Foggy,City Road,Night,0,188,10,1,Low,Icy,Car,33,27,Artificial Light,0
Clear,Highway,Night,2,80,1,0,High,Icy,Car,46,41,Daylight,0
Clear,Highway,Evening,2,100,4,0,Moderate,Icy,Truck,52,43,Daylight,0
Foggy,Highway,Afternoon,0,80,4,0,Moderate,Icy,Motorcycle,32,,Artificial Light,0
Clear,Highway,Morning,1,100,4,0,Moderate,Dry,Motorcycle,62,57,Artificial Light,1
Rainy,City Road,Morning,1,50,4,0,Low,Dry,Car,36,33,Artificial Light,0
Rainy,Highway,Afternoon,0,60,2,,Moderate,Dry,Truck,29,24,Daylight,0
Rainy,City Road,Evening,1,60,,0,Low,Icy,Car,36,32,Artificial Light,0
Rainy,Rural Road,Evening,1,50,,0,Moderate,Under Construction,Car,67,,No Light,0
Rainy,City Road,Afternoon,2,30,2,0,Low,Under Construction,Motorcycle,68,66,Daylight,0
Foggy,City Road,Afternoon,2,30,3,0,Low,Dry,Car,62,59,Daylight,0
Rainy,Highway,Afternoon,2,100,3,0,High,Wet,Car,43,38,Artificial Light,0
Clear,Rural Road,Night,2,50,3,,Low,Icy,Car,54,48,Artificial Light,1
Clear,Highway,Morning,1,60,5,0,Low,Wet,Truck,63,60,Artificial Light,0
Stormy,Highway,Evening,1,195,14,0,Moderate,Dry,Car,46,38,No Light,0
Rainy,City Road,,2,100,1,1,Low,Dry,Motorcycle,48,46,Artificial Light,0
Clear,Rural Road,Morning,1,194,,1,Low,Under Construction,Truck,31,24,Artificial Light,0
Rainy,Mountain Road,Afternoon,1,,4,0,High,,Car,42,41,Artificial Light,0
Rainy,Rural Road,Afternoon,2,80,3,0,,Dry,Truck,33,33,Daylight,0
Foggy,City Road,Evening,1,60,3,,Moderate,Icy,Car,59,51,Artificial Light,1
Clear,City Road,Afternoon,1,80,1,1,Low,Dry,Car,37,31,Artificial Light,0
Foggy,Highway,Evening,2,60,1,0,Low,Dry,Car,43,43,Daylight,0
Clear,Highway,Afternoon,2,100,4,0,Low,Under Construction,Truck,27,26,Daylight,0
Clear,,Morning,0,60,,0,Low,Wet,Car,18,10,Daylight,0
Snowy,Mountain Road,Night,0,50,5,0,,,Car,32,31,Daylight,0
Clear,Highway,Afternoon,1,80,5,0,Low,Icy,Car,29,28,Artificial Light,0
Rainy,Rural Road,Morning,0,100,4,0,Low,,Car,41,41,Artificial Light,0
Clear,Highway,Evening,2,80,5,0,Low,Under Construction,Car,,53,,0
Rainy,City Road,Morning,2,80,1,0,Low,Under Construction,Car,46,43,Artificial Light,0
Clear,Highway,Afternoon,0,50,5,0,Moderate,Dry,Car,24,18,Daylight,0
Snowy,Rural Road,Afternoon,2,50,2,0,Moderate,Wet,Car,44,,Artificial Light,1
Clear,Mountain Road,Afternoon,0,50,4,1,Moderate,Dry,Motorcycle,66,59,Artificial Light,0
Foggy,City Road,Morning,,60,1,0,Moderate,Wet,Car,46,41,Daylight,0
Rainy,Highway,Afternoon,0,60,4,0,Low,Under Construction,Car,65,60,Daylight,0
Rainy,Highway,,0,60,3,0,Low,Dry,Car,63,61,Daylight,0
Rainy,City Road,Evening,1,,2,1,Low,Wet,Car,59,50,Daylight,0
Snowy,Highway,Afternoon,1,60,5,0,Low,Dry,Truck,61,60,Artificial Light,0
Clear,Highway,Evening,2,60,1,0,Moderate,Wet,Truck,50,45,Artificial Light,0
Clear,Rural Road,Afternoon,2,80,5,0,Low,Wet,Car,42,36,Artificial Light,1
Clear,Highway,Afternoon,1,80,3,0,Low,Dry,Car,24,24,Daylight,0
Stormy,Highway,Morning,1,50,2,0,Low,Dry,,23,14,Daylight,0
Clear,Highway,Morning,1,100,5,0,Low,Icy,,21,21,Artificial Light,0
Snowy,Highway,Morning,2,60,4,0,Low,Wet,Car,50,43,Daylight,1
Rainy,City Road,Morning,0,50,3,0,High,Icy,Motorcycle,58,49,Artificial Light,0
Rainy,Rural Road,Evening,0,120,5,1,Moderate,Wet,Car,38,30,Artificial Light,0
Foggy,Highway,Afternoon,,50,4,1,Moderate,Dry,Car,43,41,,0
Clear,Highway,Afternoon,0,60,4,0,High,Icy,Car,19,15,Artificial Light,
Foggy,City Road,Afternoon,2,50,5,0,High,Wet,Car,26,17,Artificial Light,0
Snowy,Rural Road,Morning,1,50,1,0,High,Dry,Car,25,23,Artificial Light,
Clear,City Road,Evening,1,120,4,0,Low,Dry,Car,38,37,Artificial Light,1
Snowy,Highway,Night,1,50,5,0,High,Dry,Car,20,,Artificial Light,1
Clear,Highway,Morning,2,100,2,0,Low,Dry,Car,48,43,Daylight,0
Rainy,Mountain Road,Morning,2,30,5,0,Low,Dry,Car,30,28,Artificial Light,0
Clear,Highway,,1,50,5,0,Low,Dry,Car,46,37,No Light,0
,Mountain Road,Evening,2,50,4,0,Moderate,Under Construction,Car,18,17,Daylight,1
Rainy,Highway,Afternoon,0,80,5,0,Low,Dry,Motorcycle,24,23,Daylight,0
Clear,Highway,Evening,2,60,5,0,Low,,Car,52,52,Daylight,0
Clear,Rural Road,Morning,1,30,1,0,Low,Dry,Car,21,21,Artificial Light,0
Clear,Highway,Evening,0,100,4,1,Moderate,Wet,Car,33,26,Artificial Light,0
Clear,Highway,,2,60,4,1,Low,Icy,Car,19,11,Artificial Light,0
Rainy,Highway,,1,100,4,1,Low,Wet,Car,44,40,Artificial Light,
Clear,Highway,Afternoon,0,60,3,0,Low,Dry,Motorcycle,41,41,No Light,0
Clear,,Morning,0,30,3,0,High,Dry,Car,27,27,Artificial Light,1
Clear,Highway,Afternoon,1,50,3,0,Moderate,Dry,Car,26,17,Artificial Light,0
Clear,Highway,Morning,1,60,3,0,Low,Icy,Car,65,57,Artificial Light,1
Snowy,Highway,,1,30,4,1,Moderate,Dry,Car,66,,Daylight,1
Clear,Highway,Afternoon,0,60,2,1,Low,Wet,Car,41,41,Artificial Light,1
,Highway,Evening,,100,4,0,Moderate,Dry,Truck,34,28,Artificial Light,0
Clear,Mountain Road,,2,30,1,1,Moderate,Dry,Car,43,38,Daylight,0
Stormy,Rural Road,Night,2,100,3,,Low,Icy,Car,48,39,Daylight,1
Clear,Highway,Evening,0,80,5,0,Low,Dry,Car,23,22,Daylight,1
,Highway,Afternoon,2,80,2,0,Low,Dry,Car,24,23,Daylight,1
Rainy,Highway,Evening,2,100,3,0,Low,Icy,Car,34,34,Artificial Light,0
Clear,City Road,Evening,2,50,3,0,Low,Dry,Car,49,44,Daylight,1
Clear,Highway,Night,1,50,3,0,Moderate,Dry,Car,36,35,Artificial Light,1
Rainy,,Evening,2,80,1,,Low,Dry,Car,65,60,Artificial Light,1
,Mountain Road,Evening,1,60,1,1,Low,Dry,Car,30,25,Artificial Light,1
Snowy,Highway,Afternoon,0,30,3,1,Low,Dry,,33,29,Daylight,1
Rainy,Highway,Afternoon,,50,5,0,Moderate,Dry,Truck,40,36,Daylight,0
Stormy,Rural Road,,1,60,5,0,High,Wet,Car,46,37,Daylight,
,Rural Road,Evening,0,80,2,1,Low,Icy,Car,25,23,Daylight,0
,Highway,Afternoon,1,60,4,0,Low,Icy,Truck,20,20,Daylight,0
Foggy,Highway,Evening,1,100,3,0,Low,Wet,Motorcycle,28,20,Daylight,
Rainy,Rural Road,Afternoon,2,80,3,0,Moderate,Wet,Truck,64,57,Artificial Light,1
Stormy,City Road,Afternoon,0,50,1,0,High,Dry,Car,22,14,Artificial Light,0
Snowy,Highway,Afternoon,0,50,5,0,Low,Dry,,38,37,Artificial Light,0
Rainy,City Road,Morning,1,50,1,0,Low,Wet,Car,18,9,Artificial Light,0
Stormy,Highway,Night,1,60,5,0,Low,Icy,Car,27,19,Daylight,1
Foggy,Rural Road,Afternoon,2,60,4,1,Moderate,Under Construction,Car,58,54,,1
Clear,Rural Road,Morning,,100,2,0,Low,Dry,Truck,60,59,Artificial Light,1
